Unnamed: 0.1,name,club_x,Unnamed: 0,nationality,position,club_y,birth_year,games,games_starts,minutes,cards_yellow,cards_red,minutes_90s,goals,shots,shots_free_kicks,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_short,passes_medium,passes_long,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,tackles,tackles_won,dribble_tackles,dribbled_past,blocks,interceptions,clearances,errors,touches,touches_live_ball,dribbles,miscontrols,dispossessed,passes_received,fouls,fouled,ball_recoveries,aerials_won,"aerials_lost,",FC 25,FC 24,FIFA 23,FIFA 22,FIFA 21,FIFA 20,FIFA 19,FIFA 18,FIFA 17,FIFA 16,FIFA 15,FIFA 14/25,FIFA 13,FIFA 12,FIFA 11,FIFA 10,FIFA 09,FIFA 08,FIFA 07,injury_type,start_date,end_date,duration,injury_year
1351.0,jean-victor-makengo,Udinese Calcio,1356.0,fr FRA,MF,Udinese,1998.0,12.0,9.0,638.0,2.0,0.0,7.1,0.0,6.0,0.0,215.0,254.0,2930.0,714.0,156.0,70.0,9.0,253.0,1.0,1.0,0.0,0.0,5.0,0.0,12.0,9.0,4.0,3.0,6.0,8.0,2.0,0.0,315.0,315.0,12.0,11.0,8.0,230.0,9.0,13.0,31.0,4.0,"1.0,",71.0,73.0,,,,,,,,,,,,,,,,,,tendon irritation,2022-11-07,2022-12-23,46.0,2022.0
471.0,jeff-reine-adelaïde,Olympique Lyon,1833.0,fr FRA,MF,Lyon,1998.0,11.0,1.0,313.0,1.0,0.0,3.5,0.0,9.0,0.0,261.0,303.0,4092.0,925.0,148.0,116.0,24.0,286.0,16.0,5.0,2.0,0.0,13.0,8.0,7.0,4.0,5.0,3.0,3.0,6.0,0.0,0.0,344.0,344.0,21.0,10.0,8.0,272.0,6.0,3.0,28.0,3.0,"3.0,",71.0,74.0,,,,,,,,,,,,,,,,,,cruciate ligament rupture,2021-02-04,2022-01-11,341.0,2022.0
471.0,jeff-reine-adelaïde,Olympique Lyon,1833.0,fr FRA,MF,Lyon,1998.0,11.0,1.0,313.0,1.0,0.0,3.5,0.0,9.0,0.0,261.0,303.0,4092.0,925.0,148.0,116.0,24.0,286.0,16.0,5.0,2.0,0.0,13.0,8.0,7.0,4.0,5.0,3.0,3.0,6.0,0.0,0.0,344.0,344.0,21.0,10.0,8.0,272.0,6.0,3.0,28.0,3.0,"3.0,",71.0,74.0,,,,,,,,,,,,,,,,,,cruciate ligament rupture,2019-12-16,2020-07-01,198.0,2020.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,hamstring injury,2020-10-25,2020-11-02,8.0,2020.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,chest injury,2020-02-02,2020-02-28,26.0,2020.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,groin injury,2020-01-23,2020-01-31,8.0,2020.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,knee injury,2020-01-13,2020-01-17,4.0,2020.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,knock,2019-10-16,2019-10-25,9.0,2019.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,ankle injury,2019-01-31,2019-02-08,8.0,2019.0
387.0,jefferson-lerma,AFC Bournemouth,1274.0,co COL,"MF,DF",Bournemouth,1994.0,15.0,15.0,1350.0,3.0,0.0,15.0,2.0,14.0,0.0,539.0,654.0,8687.0,2978.0,287.0,256.0,69.0,629.0,25.0,21.0,3.0,1.0,1.0,0.0,19.0,12.0,8.0,6.0,8.0,13.0,45.0,1.0,784.0,784.0,5.0,13.0,8.0,485.0,15.0,20.0,101.0,27.0,16.0,79.0,77.0,,,,,,,,,,,,,,,,,,hamstring injury,2018-11-11,2018-11-24,13.0,2018.0
